Material,Text,,material,N,Y,"Apple Watch
Apple Watch Accessories
Bags
Batteries
Batteries & Chargers
Bluetooth & Wireless Speaker
Cases & Covers
CCTV & IP Cameras
Chargers/Wall Chargers
Connected Toy
Connectors
Drone
External Device
Films
Filters
For TV antenna (Digital box)
Game Console
Gaming Headset
Gaming Keyboard
Guitar Accessories
Hand Free Kits
Headphones
iPad Accessories
iPhone Accessories
Lens Caps
Macbook Accessories
Microphone
Other
Plugs
Portable Speakers
Power Bank
Power Banks
Speakers
Tripods
Utilities Bag
Visual Cables
Watch
Water Purifier Accessories
Wearable Technology Accessories"
Maximum Power,Text/Dropdown,WATT,maximum_power,Y,Y,"Headphones
Hoods
Free Stand - Dish Washer
Built-in - Dish Washer
Table Top - Dish Washer
Hobs"
Maximum Amplify,Text,,maximum_amplify,N,Y,"Home Theater 5.1Ch
Headphones"
Magnetic types,Text,,magnetic_types,N,Y,Headphones
Max. Current,Text,,max_current,N,Y,Other
Max. Power,Text,,max_power,N,Y,Other
Max. Voltage,Text,,max_voltage,N,Y,Other
Metal,Text,,metal,N,Y,Other
Maximum water level (liters),Text,,maximum_water_level,N,Y,"Front Loader
Top Loader 2 Tubs
Washer & Dryer Combination"
Motor System,Text,,motor_system,N,Y,"Front Loader
Washer & Dryer Combination"
Motor Warranty (Year),Text,,motor_warranty,N,Y,"Front Loader
Top Loader 1 Tub
Top Loader 2 Tubs
Washer & Dryer Combination
Dryer - Condensing
Dryer - Venting
Electric Fan
Tower Electric Fans
Wall / Ceiling Electric Fans
Robotic Vacuum Cleaners
Wet & Dry Vacuum Cleaners
Canister Vacuum Cleaners
Stick Vacuum Cleaners
Handheld Vacuum Cleaners
Electric Fan"
Mode,Text,,mode,N,Y,"Electric Fan
Air Purifiers Accessories
Air Purifiers
Microwave
Oven"
Motor Power (watt),Text,watt,motor_power,N,Y,"Automatic
Blenders & Juicers"
Made of material,Text,,made_of_material,N,Y,"Toaster
Electric stove / Gas Range
Electric stove / Gas Range"
Maximum Weight(kg),Text,Kg,maximum_weight,N,Y,Weight Scale
Model,Text,,model,N,Y,"Macbook Accessories
Camera Accessories
External Hard Disks
Mouse
Diskettes
Plug & Connectors
Hubs
Internet Software
Guitars"
Model/Color,Text,,model_color,N,Y,"Gaming Mouse
Note Pad"
Maximum Power Input,Text,,maximum_power_input,N,Y,Hand Free Kits
Mfi,Text,,mfi,N,Y,Data Cables & Data Links
Memory Card Type,Text,,memory_card_type,N,Y,Memory Cards
Media Player,Text,,media_player,N,Y,"Smart & 3D TV
Smart TVs
LED TVs"
Media Types / Media Format,Text,,media_types,N,Y,Camera Accessories
MEMORY CARD,Text,,memory_card,N,Y,Digital Frames & Albums
METERIAL,Text,,meterial,N,Y,"Cases & Covers
Bags
Note Pad"
Minimum Height,Text,,minimum_height,N,Y,Guitar Accessories
Maximum height,Text,,maximum_height,N,Y,Guitar Accessories
MINIMUM IMPEDANCE,Text,,minimum_impedance,N,Y,Headphones
Max Sensitivity,Text,,max_sensitivity,N,Y,Headphones
Maximum Input,Text,,maximum_input,N,Y,Headphones
Maximum connection (dots),Text,,maximum_connection,N,Y,Water Heaters
Maximum Sucking power (CC.),Text,,maximum_sucking_power,N,Y,Hoods
Number of channels,Text,,number_of_channels,N,Y,"Soundbars
Home Theater 5.1Ch
Micro HiFi
Mini Disk HiFi
Receiver
Docks
CD & DVDs
Other Musical Accessories"
Natural Mode,Text,,natural_mode,N,Y,Electric Fan
NECK,Text,,neck,N,Y,Guitars
Neckjoint,Text,,neck_joint,N,Y,Guitars
Network,Text,,network,N,Y,QLED TV
Number of electric stove(head),Text,head,number_of_electric_stove,N,Y,"Electric stove / Gas Range
Hobs"
Number of wash programs,Text,,number_of_wash_programs,N,Y,"Free Stand - Dish Washer
Built-in - Dish Washer
Table Top - Dish Washer
Dish Washers"
Noise volume,Text,,noise_volume,N,Y,Hoods
Number of Speaker,Text,,number_of_speaker,N,Y,"Headphones
Portable Speakers
Bluetooth & Wireless Speaker
Diskettes
Speakers"
Number of washed containers,Text,,number_of_washed_containers,N,Y,"Free Stand - Dish Washer
Table Top - Dish Washer
Built-in - Dish Washer"
Number of outlet,Text,,number_of_outlet,N,Y,Other
NOMINAL IMPEDANCE,Text,,nomial_impedance,N,Y,"Speaker Sets
Main Speakers"
NUT WIDTH,Text,,nut_width,N,Y,Guitars
